File Name,Start Date,End Date,Records,Distinct Patients,Total Charges,Total Copay,Total Deductible,Total DispFee,Total AWP,Total Standard Price,"Records (Standard
Cost <= 0)","Records (Standard
Cost = Missing)",update_ym
zip5_r2007q1,2007-01-01 00:00:00,2007-03-31 00:00:00,39710994,7438255,3258845220.7935,737239718.500405,92947721.4199952,72967388.7693672,4394015358.05101,4001466073.39247,10219,684624,202210
zip5_r2007q2,2007-04-01 00:00:00,2007-06-30 00:00:00,39181824,7184861,3287385559.91163,755432896.230489,53090398.4899942,71311467.7594895,4396572607.45244,3986707466.77037,9425,688299,202210
zip5_r2007q3,2007-07-01 00:00:00,2007-09-30 00:00:00,38706145,7047121,3269649307.70339,763148387.080941,39888289.2199944,70704736.4396142,4472309855.43812,3931245627.33967,8654,711706,202210
zip5_r2007q4,2007-10-01 00:00:00,2007-12-31 00:00:00,40296150,7202755,3418340859.0041,777130540.651428,33160537.4999981,73359583.8496396,4638218038.66773,4085426421.12255,6409,765936,202210
zip5_r2008q1,2008-01-01 00:00:00,2008-03-31 00:00:00,41357045,7522157,3553368035.33992,754104407.400363,109874353.93,74756209.1695706,4820682222.1659,4126938742.52882,8222,637916,202210
zip5_r2008q2,2008-04-01 00:00:00,2008-06-30 00:00:00,39823707,7106553,3526393527.61955,756291281.280412,59483382.6199912,71479196.2796576,4832148209.90366,4076553776.27291,6697,582853,202210
zip5_r2008q3,2008-07-01 00:00:00,2008-09-30 00:00:00,39303331,6911291,3523141844.59369,759137678.310087,44045438.1700014,70805851.1996795,4873984646.90941,4049633441.69085,7494,514701,202210
zip5_r2008q4,2008-10-01 00:00:00,2008-12-31 00:00:00,40490375,7015737,3672676338.6927,767450486.219267,35991417.1100024,73076091.3697038,5073485437.05305,4133398417.35122,7435,474996,202210
zip5_r2009q1,2009-01-01 00:00:00,2009-03-31 00:00:00,40728370,7291496,3690317165.36296,709165025.160045,140503282.749957,72741693.9995975,5163888121.62745,4054402662.11851,12207,373120,202210
zip5_r2009q2,2009-04-01 00:00:00,2009-06-30 00:00:00,40662065,7056642,3731644029.71404,718760301.810289,78398825.0199958,67692523.1496084,5360988051.03694,4069079216.6033,7996,337548,202210
zip5_r2009q3,2009-07-01 00:00:00,2009-09-30 00:00:00,40266006,6896739,3760172278.94131,709751724.140856,54375562.6999994,64416446.5094742,5242182982.34749,4053950358.91326,6339,279718,202210
zip5_r2009q4,2009-10-01 00:00:00,2009-12-31 00:00:00,41605281,7045851,3885585798.5106,683825096.721235,44165113.7300039,65446068.4891828,5230361501.16286,4108662306.14159,5435,282269,202210
zip5_r2010q1,2010-01-01 00:00:00,2010-03-31 00:00:00,40088352,6926279,3732424119.28173,650441795.946292,156070126.780088,59365683.4194306,5153191349.28263,3833947287.91043,3196,264803,202210
zip5_r2010q2,2010-04-01 00:00:00,2010-06-30 00:00:00,40263707,6795193,3832354354.29294,661123655.526161,85429225.6399716,59809429.9194447,5370244637.26619,3861237136.00968,2969,251314,202210
zip5_r2010q3,2010-07-01 00:00:00,2010-09-30 00:00:00,40629133,6770053,3942780853.8544,672187603.746282,61008008.5999954,59991273.2694622,5528557124.7288,3831084814.75989,6178,273881,202210
zip5_r2010q4,2010-10-01 00:00:00,2010-12-31 00:00:00,42118581,6942053,4125849950.38142,679274418.686682,48809338.8500006,61467611.9894548,5859889634.13622,3895605797.10975,5252,288262,202210
zip5_r2011q1,2011-01-01 00:00:00,2011-03-31 00:00:00,42776971,7201349,4217623583.63404,662639423.89582,189223312.650026,63624788.1094119,5893486931.26581,3828484003.11905,3950,305260,202210
zip5_r2011q2,2011-04-01 00:00:00,2011-06-30 00:00:00,42148184,6980616,4264256841.68662,656312241.485925,99048109.8599865,63047543.9393898,6017404581.83719,3823243333.01653,4733,304933,202210
zip5_r2011q3,2011-07-01 00:00:00,2011-09-30 00:00:00,42010511,6889588,4341386701.15982,649290165.636258,69491524.2699872,63091604.7293997,6166467466.40811,3822384841.36907,5595,299063,202210
zip5_r2011q4,2011-10-01 00:00:00,2011-12-31 00:00:00,43440660,7074544,4555668536.81689,652498325.3166,54531964.4800005,65045611.0794282,6482819703.77258,3901354097.53076,4951,309321,202210
zip5_r2012q1,2012-01-01 00:00:00,2012-03-31 00:00:00,43968398,7236854,4601539743.07252,710217453.623743,164785133.15016,64997077.1494913,6326839953.21378,3837634607.54155,4274,283662,202210
zip5_r2012q2,2012-04-01 00:00:00,2012-06-30 00:00:00,43341040,7065753,4575108149.09434,694512896.923907,91232436.7899963,64505292.3094948,6376771012.59448,3762801289.96014,4394,265243,202210
zip5_r2012q3,2012-07-01 00:00:00,2012-09-30 00:00:00,43274562,7012537,4556882582.91797,675249544.644144,65030914.5899899,64935884.7894718,6434997229.64929,3634192136.33628,4198,264513,202210
zip5_r2012q4,2012-10-01 00:00:00,2012-12-31 00:00:00,45425405,7247376,4790809840.31344,682552541.603986,53021594.6499967,68183796.8494138,6727325472.868,3693690629.63594,3766,369902,202210
zip5_r2013q1,2013-01-01 00:00:00,2013-03-31 00:00:00,45735631,7406579,4777028270.60687,695257554.683719,199230552.260026,65651699.0297329,6615046157.82442,3580621262.57954,3452,253700,202210
zip5_r2013q2,2013-04-01 00:00:00,2013-06-30 00:00:00,45532854,7184263,4991303765.49666,673041289.88342,97939496.3300094,74408110.719548,5791925214.35624,3451861515.09249,2917,203927,202210
zip5_r2013q3,2013-07-01 00:00:00,2013-09-30 00:00:00,45746847,7119324,5308430652.0542,664721222.643747,70930150.2900043,88498764.2892963,5358668304.96643,3467218068.04326,3651,219359,202210
zip5_r2013q4,2013-10-01 00:00:00,2013-12-31 00:00:00,47313155,7304938,5565158671.8886,666369805.35351,56731417.4900012,100036100.16949,4221562725.14207,3686298848.89147,3184,199850,202210
zip5_r2014q1,2014-01-01 00:00:00,2014-03-31 00:00:00,43675213,6972420,5396686238.64262,620752194.426232,205087130.78997,86692437.6185648,3912072103.18421,3591746627.54447,2872,188763,202210
zip5_r2014q2,2014-04-01 00:00:00,2014-06-30 00:00:00,43847771,6856940,5620291708.57787,623605045.586413,98913615.4900048,79173989.0485523,4137850391.73774,3770510455.13043,2504,171188,202210
zip5_r2014q3,2014-07-01 00:00:00,2014-09-30 00:00:00,43023007,6714256,5657792538.11229,607227646.706584,68387890.4600006,77395187.7491469,4239984347.79815,3701437777.85042,2715,180381,202210
zip5_r2014q4,2014-10-01 00:00:00,2014-12-31 00:00:00,43622603,6788389,5800191674.30079,592387020.796664,56484014.0100039,81029520.9296607,4358535851.98197,3805654486.37711,2848,277496,202210
zip5_r2015q1,2015-01-01 00:00:00,2015-03-31 00:00:00,44374851,7148901,5831240180.23462,634736830.213592,374613307.840072,59557385.3500157,4590244366.87608,3813035297.83523,1739,381388,202210
zip5_r2015q2,2015-04-01 00:00:00,2015-06-30 00:00:00,44937977,7070367,6319424758.38815,587989934.003278,153849109.960012,59221034.529633,4810773896.67961,4903676310.65,2887,173453,202210
zip5_r2015q3,2015-07-01 00:00:00,2015-09-30 00:00:00,45221816,7036754,6432311130.33641,565083981.403246,104756370.430016,66914967.6495797,4951794022.9024,5264869574.77089,1273,3759,202210
zip5_r2015q4,2015-10-01 00:00:00,2015-12-31 00:00:00,47229396,7268977,6814963669.96582,552138272.923238,83581322.2000071,76776823.9095279,5132755406.34986,5527627039.70454,1490,3208,202210
zip5_r2016q1,2016-01-01 00:00:00,2016-03-31 00:00:00,53254669,8115659,7176617059.4379,716149059.005507,457616255.540316,65258966.9088284,6535835889.88729,5888196281.47318,2386,2487,202210
zip5_r2016q2,2016-04-01 00:00:00,2016-06-30 00:00:00,53186632,7992567,7570536747.43871,659867957.347495,178796445.379989,64419687.2688953,6748382939.3758,6079224880.52577,2266,2055,202210
zip5_r2016q3,2016-07-01 00:00:00,2016-09-30 00:00:00,53972083,8057764,7886200604.07487,649492339.696968,126539347.619994,76900621.8382916,7072745482.27018,6203082787.27288,2084,1818,202210
zip5_r2016q4,2016-10-01 00:00:00,2016-12-31 00:00:00,55979988,8338428,8269554773.00965,632161207.706586,100509149.929999,84070558.3280249,7248399854.32475,6523588202.15205,2067,1549,202210
zip5_r2017q1,2017-01-01 00:00:00,2017-03-31 00:00:00,59088178,8998050,8378385849.98539,766173224.781355,502324428.570379,62512953.4178148,8187558966.35986,6654169386.55827,231,1474,202210
zip5_r2017q2,2017-04-01 00:00:00,2017-06-30 00:00:00,59065223,8894283,8911788706.5981,708092254.490035,194038602.060004,59124714.7776912,8572955457.17802,6950239898.43697,494,1093,202210
zip5_r2017q3,2017-07-01 00:00:00,2017-09-30 00:00:00,58872423,8844957,8934711102.88658,685673780.399052,131951876.259968,76142726.3959991,8824903501.45979,6984052081.59997,898,1170,202210
zip5_r2017q4,2017-10-01 00:00:00,2017-12-31 00:00:00,60636277,9017835,9195257232.58279,670031674.41876,108409000.639977,96713668.4150893,9183471028.99013,7254025682.35784,840,961,202210
zip5_r2018q1,2018-01-01 00:00:00,2018-03-31 00:00:00,59788553,9245961,9129057161.53498,796045754.904329,468437279.05,68737092.7968948,9309292352.64472,6911083555.68392,530,726,202210
zip5_r2018q2,2018-04-01 00:00:00,2018-06-30 00:00:00,58304904,8941594,9499084853.13988,724372766.315503,184605210.08997,62161365.277659,10379945455.9156,7089066230.70241,2008,92,202210
zip5_r2018q3,2018-07-01 00:00:00,2018-09-30 00:00:00,58648819,9016948,9670981443.32969,716456365.63562,136795757.109964,86318664.0156683,15011922280.4129,7227191706.9573,1848,0,202210
zip5_r2018q4,2018-10-01 00:00:00,2018-12-31 00:00:00,61663458,9362522,10220152474.9065,697347150.085864,111509323.649984,114058713.953737,15720432928.5222,7572061887.43948,2014,0,202210
zip5_r2019q1,2019-01-01 00:00:00,2019-03-31 00:00:00,60060944,9425058,9810358182.06451,791750773.076425,485937405.449972,61940279.6596145,15696818037.5459,7284397624.71373,1517,0,202210
zip5_r2019q2,2019-04-01 00:00:00,2019-06-30 00:00:00,60012594,9222260,10342471248.6782,740146039.825281,194516837.120011,59516222.7895521,16430174462.8343,7609371906.39297,72,0,202210
zip5_r2019q3,2019-07-01 00:00:00,2019-09-30 00:00:00,60591503,9238857,10573251212.5436,718370646.99529,138080487.599992,90796815.929821,16892766818.2773,7747539131.22793,100,0,202210
zip5_r2019q4,2019-10-01 00:00:00,2019-12-31 00:00:00,62086759,9532483,10772254172.5369,689929309.425336,110191617.45999,118945134.038648,17194519696.355,7862441485.42239,259,0,202210
zip5_r2020q1,2020-01-01 00:00:00,2020-03-31 00:00:00,64061157,9631343,11312100865.1918,876144960.450386,519836611.699975,64507666.0095167,18524181190.7021,8252805985.86045,100,0,202210
zip5_r2020q2,2020-04-01 00:00:00,2020-06-30 00:00:00,58860995,8738759,11157319280.9817,752529777.512159,179620710.410019,52758325.8595306,18301506337.0469,8133981455.78194,46,0,202210
zip5_r2020q3,2020-07-01 00:00:00,2020-09-30 00:00:00,60362906,9087901,11226255750.55,748658756.952297,140770888.289982,117554003.087777,17808998615.3643,8207948635.86155,39,0,202210
zip5_r2020q4,2020-10-01 00:00:00,2020-12-31 00:00:00,61513226,9229989,11667941279.449,713347123.8325,108768763.409995,115551204.947839,18736212868.2694,8440433052.84789,85,0,202210
zip5_r2021q1,2021-01-01 00:00:00,2021-03-31 00:00:00,60974263,9423850,11365969687.2428,829374215.882299,511534446.149981,54932236.3684008,19003595993.6304,8248785812.61199,2218,0,202210
zip5_r2021q2,2021-04-01 00:00:00,2021-06-30 00:00:00,64393978,10017085,12001497396.1173,785481373.8524,195992576.050005,56795253.1782191,19911066826.3854,8678773784.70292,5550,0,202210
zip5_r2021q3,2021-07-01 00:00:00,2021-09-30 00:00:00,65107530,9977868,12287651823.7056,786715512.882404,136000413.990001,98744757.1261764,20385497859.1303,8820892556.30432,5224,0,202210
zip5_r2021q4,2021-10-01 00:00:00,2021-12-31 00:00:00,67892028,10624109,12744060017.7488,754871838.593055,108219438.969999,134517665.416134,20895740143.8636,9118574313.88562,6758,1,202210
zip5_r2022q1,2022-01-01 00:00:00,2022-03-31 00:00:00,65397008,10019924,12666115595.1485,891512191.084205,545040486.840035,61598979.8374777,21493191179.2355,9120395840.63217,3826,6,202210
zip5_r2022q2,2022-04-01 00:00:00,2022-06-30 00:00:00,67626110,10030453,13384934942.1432,839509338.245728,200053190.629992,59184775.7776335,22438487014.3856,9537220946.97367,1251,25,202210
