File Name,Records,Distinct Patients,update_ym
zip5_diag2018q2,233398711,10099689,202210
zip5_diag2018q3,234836310,10292496,202210
zip5_diag2018q4,243731427,10831934,202210
zip5_diag2019q1,251418798,10483084,202210
zip5_diag2019q2,255505586,10417525,202210
zip5_diag2019q3,257585350,10532392,202210
zip5_diag2019q4,261331478,10945907,202210
zip5_diag2020q1,255322869,10368929,202210
zip5_diag2020q2,208838072,8845404,202210
zip5_diag2020q3,265907500,10445715,202210
zip5_diag2020q4,270381197,10934381,202210
zip5_diag2021q1,281480696,10894779,202210
zip5_diag2021q2,292121233,11069085,202210
zip5_diag2021q3,293488067,11366424,202210
zip5_diag2021q4,291787146,11545320,202210
zip5_diag2022q1,293390426,11267653,202210
zip5_diag2022q2,286685278,11017821,202210
zip5_diag2007q1,74767401,7303684,202207
zip5_diag2007q2,73979733,7126579,202207
zip5_diag2007q3,73662991,7146666,202207
zip5_diag2007q4,77003513,7299967,202207
zip5_diag2008q1,79060063,7395025,202207
zip5_diag2008q2,79142408,7213856,202207
zip5_diag2008q3,84104842,7496555,202207
zip5_diag2008q4,89866226,7642487,202207
zip5_diag2009q1,94054788,7798624,202207
zip5_diag2009q2,95618601,7675308,202207
zip5_diag2009q3,95840297,7721210,202207
zip5_diag2009q4,95734553,7753286,202207
zip5_diag2010q1,96291173,7478341,202207
zip5_diag2010q2,97468919,7395597,202207
zip5_diag2010q3,98497834,7542074,202207
zip5_diag2010q4,100300553,7675755,202207
zip5_diag2011q1,101677459,7686256,202207
zip5_diag2011q2,101276506,7540204,202207
zip5_diag2011q3,102979968,7638135,202207
zip5_diag2011q4,104835536,7781100,202207
zip5_diag2012q1,111954466,7825078,202207
zip5_diag2012q2,110855056,7694218,202207
zip5_diag2012q3,111113136,7761162,202207
zip5_diag2012q4,114766036,8025451,202207
zip5_diag2013q1,117198680,7998075,202207
zip5_diag2013q2,119420392,7821306,202207
zip5_diag2013q3,121795019,7974508,202207
zip5_diag2013q4,124493930,8229949,202207
zip5_diag2014q1,115572364,7561491,202207
zip5_diag2014q2,119720842,7539839,202207
zip5_diag2014q3,121145361,7563325,202207
zip5_diag2014q4,124528225,7772056,202207
zip5_diag2015q1,132657824,7902068,202207
zip5_diag2015q2,138073408,8003080,202207
zip5_diag2015q3,139359964,8080756,202207
zip5_diag2015q4,145613904,8293767,202207
zip5_diag2016q1,171622767,8909640,202207
zip5_diag2016q2,175384606,8904027,202207
zip5_diag2016q3,178734061,9105239,202207
zip5_diag2016q4,183923481,9435546,202207
zip5_diag2017q1,212188611,9993378,202207
zip5_diag2017q2,214829132,9914596,202207
zip5_diag2017q3,211496207,9965048,202207
zip5_diag2017q4,220398984,10232424,202207
zip5_diag2018q1,230378074,10283613,202207
